DATE,S4248SM144NCEN,index,quarter,,quarter,quarterly_sales
1/1/1992,3459,1,1,,1,10919
1/2/1992,3458,2,1,,2,13314
1/3/1992,4002,3,1,,3,12729
1/4/1992,4564,4,2,,4,13435
1/5/1992,4221,5,2,,5,10452
1/6/1992,4529,6,2,,6,13380
1/7/1992,4466,7,3,,7,13279
1/8/1992,4137,8,3,,8,13710
1/9/1992,4126,9,3,,9,10895
1/10/1992,4259,10,4,,10,13706
1/11/1992,4240,11,4,,11,13417
1/12/1992,4936,12,4,,12,14003
1/1/1993,3031,13,5,,13,11123
1/2/1993,3261,14,5,,14,13683
1/3/1993,4160,15,5,,15,13458
1/4/1993,4377,16,6,,16,14231
1/5/1993,4307,17,6,,17,11944
1/6/1993,4696,18,6,,18,14674
1/7/1993,4458,19,7,,19,14368
1/8/1993,4457,20,7,,20,14959
1/9/1993,4364,21,7,,21,12037
1/10/1993,4236,22,8,,22,14902
1/11/1993,4500,23,8,,23,15235
1/12/1993,4974,24,8,,24,16138
1/1/1994,3075,25,9,,25,12713
1/2/1994,3377,26,9,,26,15774
1/3/1994,4443,27,9,,27,16057
1/4/1994,4261,28,10,,28,17215
1/5/1994,4460,29,10,,29,13946
1/6/1994,4985,30,10,,30,17246
1/7/1994,4324,31,11,,31,17338
1/8/1994,4719,32,11,,32,18800
1/9/1994,4374,33,11,,33,15203
1/10/1994,4248,34,12,,34,18461
1/11/1994,4784,35,12,,35,18153
1/12/1994,4971,36,12,,36,19520
1/1/1995,3370,37,13,,37,16191
1/2/1995,3484,38,13,,38,19360
1/3/1995,4269,39,13,,39,18789
1/4/1995,3994,40,14,,40,20514
1/5/1995,4715,41,14,,41,16896
1/6/1995,4974,42,14,,42,20502
1/7/1995,4223,43,15,,43,20176
1/8/1995,5000,44,15,,44,21615
1/9/1995,4235,45,15,,45,17349
1/10/1995,4554,46,16,,46,21018
1/11/1995,4851,47,16,,47,21468
1/12/1995,4826,48,16,,48,23009
1/1/1996,3699,49,17,,49,18572
1/2/1996,3983,50,17,,50,22345
1/3/1996,4262,51,17,,51,21944
1/4/1996,4619,52,18,,52,24057
1/5/1996,5219,53,18,,53,19517
1/6/1996,4836,54,18,,54,24260
1/7/1996,4941,55,19,,55,23589
1/8/1996,5062,56,19,,56,24859
1/9/1996,4365,57,19,,57,20579
1/10/1996,5012,58,20,,58,25505
1/11/1996,4850,59,20,,59,24985
1/12/1996,5097,60,20,,60,27313
1/1/1997,3758,61,21,,61,21565
1/2/1997,3825,62,21,,62,26882
1/3/1997,4454,63,21,,63,26274
1/4/1997,4635,64,22,,64,29104
1/5/1997,5210,65,22,,65,22941
1/6/1997,5057,66,22,,66,28666
1/7/1997,5231,67,23,,67,28153
1/8/1997,5034,68,23,,68,29545
1/9/1997,4970,69,23,,69,23532
1/10/1997,5342,70,24,,70,28698
1/11/1997,4831,71,24,,71,27702
1/12/1997,5965,72,24,,72,28867
1/1/1998,3796,73,25,,73,23514
1/2/1998,4019,74,25,,74,29327
1/3/1998,4898,75,25,,75,27770
1/4/1998,5090,76,26,,76,30734
1/5/1998,5237,77,26,,77,24747
1/6/1998,5447,78,26,,78,30592
1/7/1998,5435,79,27,,79,29660
1/8/1998,5107,80,27,,80,31423
1/9/1998,5515,81,27,,81,25836
1/10/1998,5583,82,28,,82,32039
1/11/1998,5346,83,28,,83,30540
1/12/1998,6286,84,28,,84,33629
1/1/1999,4032,85,29,,85,27338
1/2/1999,4435,86,29,,86,33981
1/3/1999,5479,87,29,,87,32990
1/4/1999,5483,88,30,,88,35192
1/5/1999,5587,89,30,,89,27501
1/6/1999,6176,90,30,,90,34428
1/7/1999,5621,91,31,,91,32483
1/8/1999,5889,92,31,,92,35202
1/9/1999,5828,93,31,,93,27759
1/10/1999,5849,94,32,,94,34970
1/11/1999,6180,95,32,,95,34661
1/12/1999,6771,96,32,,96,37389
1/1/2000,4243,97,33,,97,30709
1/2/2000,4952,98,33,,98,36759
1/3/2000,6008,99,33,,99,35257
1/4/2000,5353,100,34,,100,38561
1/5/2000,6435,101,34,,101,31336
1/6/2000,6673,102,34,,102,38943
1/7/2000,5636,103,35,,103,35884
1/8/2000,6630,104,35,,104,39199
1/9/2000,5887,105,35,,105,31640
1/10/2000,6322,106,36,,106,39382
1/11/2000,6520,107,36,,107,38060
1/12/2000,6678,108,36,,108,42489
1/1/2001,5082,109,37,,109,33581
1/2/2001,5216,110,37,,110,41519
1/3/2001,5893,111,37,,111,40325
1/4/2001,5894,112,38,,112,44199
1/5/2001,6799,113,38,,113,35228
1/6/2001,6667,114,38,,114,42341
1/7/2001,6374,115,39,,115,46457
1/8/2001,6840,116,39,,116,47469
1/9/2001,5575,117,39,,117,39060
1/10/2001,6545,118,40,,118,48816
1/11/2001,6789,119,40,,119,47620
1/12/2001,7180,120,40,,120,50648
1/1/2002,5117,121,41,,121,41424
1/2/2002,5442,122,41,,122,49884
1/3/2002,6337,123,41,,123,48193
1/4/2002,6525,124,42,,124,0
1/5/2002,7216,125,42,,125,0
1/6/2002,6761,126,42,,126,0
1/7/2002,6958,127,43,,127,0
1/8/2002,7070,128,43,,128,0
1/9/2002,6148,129,43,,129,0
1/10/2002,6924,130,44,,130,0
1/11/2002,6716,131,44,,131,0
1/12/2002,7975,132,44,,132,0
1/1/2003,5326,133,45,,133,0
1/2/2003,5609,134,45,,134,0
1/3/2003,6414,135,45,,135,0
1/4/2003,6741,136,46,,136,0
1/5/2003,7144,137,46,,137,0
1/6/2003,7133,138,46,,138,0
1/7/2003,7568,139,47,,139,0
1/8/2003,7266,140,47,,140,0
1/9/2003,6634,141,47,,141,0
1/10/2003,7626,142,48,,142,0
1/11/2003,6843,143,48,,143,0
1/12/2003,8540,144,48,,144,0
1/1/2004,5629,145,49,,145,0
1/2/2004,5898,146,49,,146,0
1/3/2004,7045,147,49,,147,0
1/4/2004,7094,148,50,,148,0
1/5/2004,7333,149,50,,149,0
1/6/2004,7918,150,50,,150,0
1/7/2004,7289,151,51,,151,0
1/8/2004,7396,152,51,,152,0
1/9/2004,7259,153,51,,153,0
1/10/2004,7268,154,52,,154,0
1/11/2004,7731,155,52,,155,0
1/12/2004,9058,156,52,,156,0
1/1/2005,5557,157,53,,157,0
1/2/2005,6237,158,53,,158,0
1/3/2005,7723,159,53,,159,0
1/4/2005,7262,160,54,,160,0
1/5/2005,8241,161,54,,161,0
1/6/2005,8757,162,54,,162,0
1/7/2005,7352,163,55,,163,0
1/8/2005,8496,164,55,,164,0
1/9/2005,7741,165,55,,165,0
1/10/2005,7710,166,56,,166,0
1/11/2005,8247,167,56,,167,0
1/12/2005,8902,168,56,,168,0
1/1/2006,6066,169,57,,169,0
1/2/2006,6590,170,57,,170,0
1/3/2006,7923,171,57,,171,0
1/4/2006,7335,172,58,,172,0
1/5/2006,8843,173,58,,173,0
1/6/2006,9327,174,58,,174,0
1/7/2006,7792,175,59,,175,0
1/8/2006,9156,176,59,,176,0
1/9/2006,8037,177,59,,177,0
1/10/2006,8640,178,60,,178,0
1/11/2006,9128,179,60,,179,0
1/12/2006,9545,180,60,,180,0
1/1/2007,6627,181,61,,181,0
1/2/2007,6743,182,61,,182,0
1/3/2007,8195,183,61,,183,0
1/4/2007,7828,184,62,,184,0
1/5/2007,9570,185,62,,185,0
1/6/2007,9484,186,62,,186,0
1/7/2007,8608,187,63,,187,0
1/8/2007,9543,188,63,,188,0
1/9/2007,8123,189,63,,189,0
1/10/2007,9649,190,64,,190,0
1/11/2007,9390,191,64,,191,0
1/12/2007,10065,192,64,,192,0
1/1/2008,7093,193,65,,193,0
1/2/2008,7483,194,65,,194,0
1/3/2008,8365,195,65,,195,0
1/4/2008,8895,196,66,,196,0
1/5/2008,9794,197,66,,197,0
1/6/2008,9977,198,66,,198,0
1/7/2008,9553,199,67,,199,0
1/8/2008,9375,200,67,,200,0
1/9/2008,9225,201,67,,201,0
1/10/2008,9948,202,68,,202,0
1/11/2008,8758,203,68,,203,0
1/12/2008,10839,204,68,,204,0
1/1/2009,7266,205,69,,205,0
1/2/2009,7578,206,69,,206,0
1/3/2009,8688,207,69,,207,0
1/4/2009,9162,208,70,,208,0
1/5/2009,9369,209,70,,209,0
1/6/2009,10167,210,70,,210,0
1/7/2009,9507,211,71,,211,0
1/8/2009,8923,212,71,,212,0
1/9/2009,9272,213,71,,213,0
1/10/2009,9075,214,72,,214,0
1/11/2009,8949,215,72,,215,0
1/12/2009,10843,216,72,,216,0
1/1/2010,6558,217,73,,217,0
1/2/2010,7481,218,73,,218,0
1/3/2010,9475,219,73,,219,0
1/4/2010,9424,220,74,,220,0
1/5/2010,9351,221,74,,221,0
1/6/2010,10552,222,74,,222,0
1/7/2010,9077,223,75,,223,0
1/8/2010,9273,224,75,,224,0
1/9/2010,9420,225,75,,225,0
1/10/2010,9413,226,76,,226,0
1/11/2010,9866,227,76,,227,0
1/12/2010,11455,228,76,,228,0
1/1/2011,6901,229,77,,229,0
1/2/2011,8014,230,77,,230,0
1/3/2011,9832,231,77,,231,0
1/4/2011,9281,232,78,,232,0
1/5/2011,9967,233,78,,233,0
1/6/2011,11344,234,78,,234,0
1/7/2011,9106,235,79,,235,0
1/8/2011,10469,236,79,,236,0
1/9/2011,10085,237,79,,237,0
1/10/2011,9612,238,80,,238,0
1/11/2011,10328,239,80,,239,0
1/12/2011,11483,240,80,,240,0
1/1/2012,7486,241,81,,241,0
1/2/2012,8641,242,81,,242,0
1/3/2012,9709,243,81,,243,0
1/4/2012,9423,244,82,,244,0
1/5/2012,11342,245,82,,245,0
1/6/2012,11274,246,82,,246,0
1/7/2012,9845,247,83,,247,0
1/8/2012,11163,248,83,,248,0
1/9/2012,9532,249,83,,249,0
1/10/2012,10754,250,84,,250,0
1/11/2012,10953,251,84,,251,0
1/12/2012,11922,252,84,,252,0
1/1/2013,8383,253,85,,253,0
1/2/2013,8870,254,85,,254,0
1/3/2013,10085,255,85,,255,0
1/4/2013,10462,256,86,,256,0
1/5/2013,12177,257,86,,257,0
1/6/2013,11342,258,86,,258,0
1/7/2013,11139,259,87,,259,0
1/8/2013,11409,260,87,,260,0
1/9/2013,10442,261,87,,261,0
1/10/2013,11480,262,88,,262,0
1/11/2013,11077,263,88,,263,0
1/12/2013,12635,264,88,,264,0
1/1/2014,8506,265,89,,265,0
1/2/2014,9004,266,89,,266,0
1/3/2014,9991,267,89,,267,0
1/4/2014,10904,268,90,,268,0
1/5/2014,11709,269,90,,269,0
1/6/2014,11815,270,90,,270,0
1/7/2014,10875,271,91,,271,0
1/8/2014,10884,272,91,,272,0
1/9/2014,10724,273,91,,273,0
1/10/2014,11697,274,92,,274,0
1/11/2014,10352,275,92,,275,0
1/12/2014,13153,276,92,,276,0
1/1/2015,8278,277,93,,277,0
1/2/2015,8925,278,93,,278,0
1/3/2015,10556,279,93,,279,0
1/4/2015,10932,280,94,,280,0
1/5/2015,11329,281,94,,281,0
1/6/2015,12709,282,94,,282,0
1/7/2015,11700,283,95,,283,0
1/8/2015,11079,284,95,,284,0
1/9/2015,11882,285,95,,285,0
1/10/2015,11866,286,96,,286,0
1/11/2015,11420,287,96,,287,0
1/12/2015,14103,288,96,,288,0
1/1/2016,8557,289,97,,289,0
1/2/2016,10201,290,97,,290,0
1/3/2016,11951,291,97,,291,0
1/4/2016,11255,292,98,,292,0
1/5/2016,12048,293,98,,293,0
1/6/2016,13456,294,98,,294,0
1/7/2016,10755,295,99,,295,0
1/8/2016,12465,296,99,,296,0
1/9/2016,12037,297,99,,297,0
1/10/2016,11671,298,100,,298,0
1/11/2016,12757,299,100,,299,0
1/12/2016,14133,300,100,,300,0
1/1/2017,8863,301,101,,301,0
1/2/2017,10242,302,101,,302,0
1/3/2017,12231,303,101,,303,0
1/4/2017,11257,304,102,,304,0
1/5/2017,13266,305,102,,305,0
1/6/2017,14420,306,102,,306,0
1/7/2017,11162,307,103,,307,0
1/8/2017,13098,308,103,,308,0
1/9/2017,11624,309,103,,309,0
1/10/2017,12396,310,104,,310,0
1/11/2017,12920,311,104,,311,0
1/12/2017,13883,312,104,,312,0
1/1/2018,9277,313,105,,313,0
1/2/2018,10093,314,105,,314,0
1/3/2018,12270,315,105,,315,0
1/4/2018,11526,316,106,,316,0
1/5/2018,13716,317,106,,317,0
1/6/2018,14140,318,106,,318,0
1/7/2018,12245,319,107,,319,0
1/8/2018,13792,320,107,,320,0
1/9/2018,12023,321,107,,321,0
1/10/2018,13529,322,108,,322,0
1/11/2018,13786,323,108,,323,0
1/12/2018,15174,324,108,,324,0
1/1/2019,10447,325,109,,325,0
1/2/2019,10833,326,109,,326,0
1/3/2019,12301,327,109,,327,0
1/4/2019,12944,328,110,,328,0
1/5/2019,14430,329,110,,329,0
1/6/2019,14145,330,110,,330,0
1/7/2019,13355,331,111,,331,0
1/8/2019,14058,332,111,,332,0
1/9/2019,12912,333,111,,333,0
1/10/2019,14389,334,112,,334,0
1/11/2019,13652,335,112,,335,0
1/12/2019,16158,336,112,,336,0
1/1/2020,10580,337,113,,337,0
1/2/2020,11267,338,113,,338,0
1/3/2020,13381,339,113,,339,0
1/4/2020,12232,340,114,,340,0
1/5/2020,13997,341,114,,341,0
1/6/2020,16112,342,114,,342,0
1/7/2020,15670,343,115,,343,0
1/8/2020,15281,344,115,,344,0
1/9/2020,15506,345,115,,345,0
1/10/2020,16188,346,116,,346,0
1/11/2020,14946,347,116,,347,0
1/12/2020,16335,348,116,,348,0
1/1/2021,11358,349,117,,349,0
1/2/2021,12369,350,117,,350,0
1/3/2021,15333,351,117,,351,0
1/4/2021,15585,352,118,,352,0
1/5/2021,15455,353,118,,353,0
1/6/2021,17776,354,118,,354,0
1/7/2021,15692,355,119,,355,0
1/8/2021,16104,356,119,,356,0
1/9/2021,15824,357,119,,357,0
1/10/2021,15613,358,120,,358,0
1/11/2021,16896,359,120,,359,0
1/12/2021,18139,360,120,,360,0
1/1/2022,11926,361,121,,361,0
1/2/2022,13333,362,121,,362,0
1/3/2022,16165,363,121,,363,0
1/4/2022,15584,364,122,,364,0
1/5/2022,16600,365,122,,365,0
1/6/2022,17700,366,122,,366,0
1/7/2022,15031,367,123,,367,0
1/8/2022,16860,368,123,,368,0
1/9/2022,16302,369,123,,369,0